Date,Time,Invoice_No,Product,Category,Quantity,Unit_Price,Total_Amount,Cost_Price,Customer_ID,Payment_Mode
01/06/2026,08:17,INV-5001,Tata Tea Premium 250g,Beverages,1,140,140,105.0,C3032,UPI
01/06/2026,08:17,INV-5001,Cadbury Bournvita 500g,Beverages,4,230,920,167.9,C3032,UPI
01/06/2026,09:05,INV-5002,Vim Dishwash Bar 3-pack,Household,4,75,300,49.5,C3028,UPI
01/06/2026,09:05,INV-5002,Daawat Basmati Rice 5kg,Grains,2,540,1080,432.0,C3028,UPI
01/06/2026,09:05,INV-5002,Real Mixed Fruit Juice 1L,Beverages,4,120,480,85.2,C3028,UPI
01/06/2026,09:05,INV-5002,Catch Garam Masala 100g,Spices,3,95,285,58.9,C3028,UPI
01/06/2026,09:05,INV-5002,Aashirvaad Salt 1kg,Grains,1,28,28,15.4,C3028,UPI
01/06/2026,18:10,INV-5003,Britannia Bread 400g,Bakery,1,45,45,35.1,C3055,Cash
01/06/2026,18:10,INV-5003,Catch Garam Masala 100g,Spices,1,95,95,58.9,C3055,Cash
01/06/2026,18:10,INV-5003,Surf Excel 1kg,Household,4,175,700,133.0,C3055,Cash
01/06/2026,10:54,INV-5004,Mother Dairy Milk 1L,Dairy,1,58,58,49.3,C3045,Card
01/06/2026,10:54,INV-5004,Moong Dal 1kg,Pulses,4,145,580,120.35,C3045,Card
01/06/2026,10:54,INV-5004,Real Mixed Fruit Juice 1L,Beverages,1,120,120,85.2,C3045,Card
01/06/2026,16:53,INV-5005,Saffola Gold Oil 1L,Oils,2,210,420,172.2,C3047,Card
01/06/2026,16:53,INV-5005,Mother Dairy Milk 1L,Dairy,3,58,174,49.3,C3047,Card
01/06/2026,20:54,INV-5006,Haldiram Bhujia 200g,Snacks,2,65,130,45.5,C3030,UPI
01/06/2026,20:54,INV-5006,Moong Dal 1kg,Pulses,3,145,435,120.35,C3030,UPI
01/06/2026,20:54,INV-5006,Aashirvaad Salt 1kg,Grains,3,28,84,15.4,C3030,UPI
01/06/2026,20:54,INV-5006,Dove Soap 100g,Personal Care,2,60,120,39.0,C3030,UPI
01/06/2026,17:44,INV-5007,Real Mixed Fruit Juice 1L,Beverages,2,120,240,85.2,C3010,Card
01/06/2026,17:44,INV-5007,Patanjali Atta 5kg,Grains,4,260,1040,218.4,C3010,Card
01/06/2026,14:59,INV-5008,Patanjali Atta 5kg,Grains,1,260,260,218.4,C3029,Cash
01/06/2026,18:25,INV-5009,Britannia Marie Gold 250g,Biscuits,2,35,70,20.3,C3035,UPI
01/06/2026,18:25,INV-5009,Surf Excel 1kg,Household,4,175,700,133.0,C3035,UPI
02/06/2026,19:41,INV-5010,Britannia Bread 400g,Bakery,3,45,135,35.1,C3059,UPI
02/06/2026,19:41,INV-5010,Patanjali Atta 5kg,Grains,4,260,1040,218.4,C3059,UPI
02/06/2026,19:41,INV-5010,Real Mixed Fruit Juice 1L,Beverages,4,120,480,85.2,C3059,UPI
02/06/2026,13:08,INV-5011,Mother Dairy Milk 1L,Dairy,1,58,58,49.3,C3066,Cash
